Subject;Menu;engagement;memorization;attraction;workload;Duration;engagementDistance;memorizationDistance;attractionDistance;workloadDistance
2;aarea;33,49857909;33,03478085;5,823709065;34,29625389;10922000;899,9243817;827,7083674;1877,430651;1038,726462
3;aarea;23,97205721;26,71167157;22,02991449;28,6847477;3641000;664,9894128;669,0969126;1844,134732;685,049737
4;aarea;21,51800636;27,7543182;-22,61003436;32,65920797;3406000;693,4652929;644,4600374;1424,288419;600,663374
5;aarea;45,13169884;31,90845498;10,66139195;39,93580026;3867000;737,4765292;572,5306609;1522,391273;688,5714978
6;aarea;28,07168055;36,56156627;-38,80952381;50,91584502;3278000;729,5057368;635,1693517;3075,90204;689,6379196
7;aarea;49,72705146;17,90424575;-3,512501158;37,90053762;3871000;736,9301027;636,4265919;1224,187968;640,7150541
8;aarea;28,08900015;14,84143655;-1,035368586;11,64414145;5887000;695,6433844;859,9695262;1365,654628;816,1128011
9;aarea;23,35094265;43,96766474;-7,339841034;40,30913922;3926000;699,6599355;741,7673272;1289,436226;609,043283
10;aarea;32,28998284;16,26845326;-28,13108634;24,20118038;2312000;871,3112214;614,1216672;1948,296953;703,7327946
11;aarea;45,04254147;12,86113557;-3,897589683;22,64817522;4829000;693,0294992;593,3122333;1496,612846;641,7599883
12;aarea;39,13439197;9,07218852;-23,24868835;15,62206361;13586000;863,4471093;649,7853611;1762,68096;702,8136225
13;aarea;39,20264649;18,91778647;-14,19994494;20,57642237;7887000;781,7699908;599,2063145;1582,792913;649,8043287
14;aarea;39,03408876;26,40106207;-13,3141752;25,71829646;12035000;1116,889953;894,8822384;1942,879881;934,9644502
15;aarea;30,09644495;35,13944427;-10,82802716;16,56460805;4641000;639,4201767;601,0678951;1425,96288;649,38393
16;aarea;44,83497776;28,86851658;-28,10655433;35,9821478;3715000;689,2450027;561,4851685;1432,665621;639,8310524
17;aarea;45,97466302;19,33304126;3,15294567;23,5578396;24094000;1727,349052;1680,576674;2735,426151;1522,590115
18;aarea;40,38492254;18,26764588;12,05480661;23,42063745;22344000;1390,03509;1185,472714;3163,835611;1101,02519
19;aarea;32,19918714;17,91757154;-36,82531485;25,62449845;4422000;622,4598412;614,2533707;1656,538202;759,5236738
20;aarea;26,76767766;43,00761112;32,56810765;51,62701055;2187000;691,3372508;627,7258184;1428,447199;761,7899834
21;aarea;28,23064883;43,00416505;33,70319155;41,98995549;3977000;617,6234866;871,7160822;1367,119553;855,794937
22;aarea;32,13143161;27,13965779;45,99917859;23,22367308;6200000;658,9043842;701,6010778;1878,119993;659,3166525
60;aarea;19,00246782;31,51647044;-32,70283413;32,35764107;4180000;705,2910895;612,6425012;1392,950924;742,2706891
61;aarea;17,28985665;11,7086942;-16,80517387;25,45857497;4199000;819,8488496;906,067959;1321,942228;959,6172385
62;aarea;38,1998273;22,37789245;2,960467183;30,7203949;14258000;1203,543611;987,3827741;2176,349246;1168,26233
63;aarea;37,41681994;16,64263659;-1,601529386;26,26117143;12770000;1071,234136;716,9924191;1878,601466;878,6699797
64;aarea;38,39075631;2,266661175;-3,423529269;3,498730464;2715000;699,9951689;1076,016572;1441,629939;1235,772803
65;aarea;25,15701182;37,72971492;-13,30840269;39,66662182;16664000;1107,586277;1568,125804;2041,251583;1425,874224
66;aarea;16,67850683;27,29255477;4,493959144;28,99981429;5781000;769,2644975;590,2742209;1345,950921;650,3639954
67;aarea;4,386999599;31,88218401;-0,139617443;54,52281153;1926000;1285,192038;570,8018512;1742,165619;674,956788
68;aarea;37,31578551;9,676337959;-12,02569557;13,23926857;5593000;759,859005;600,2900973;1397,26926;711,6561166
70;aarea;44,1066694;15,55789765;12,4478752;17,81955945;7481000;778,4791989;587,4887755;1864,724179;681,9370199
71;aarea;51,78125896;5,800952096;-0,407557437;27,1506107;2699000;782,5033026;834,9448407;1527,832753;679,9262848
72;aarea;36,38043093;30,21299351;18,82397803;39,67307502;3336000;698,9223088;628,6564379;1491,231312;616,2904199
73;aarea;55,19171695;10,6981334;-12,72644291;28,74229805;2836000;902,4253936;740,6480446;1791,602561;649,3664758
74;aarea;37,59704541;10,54753604;12,97448017;14,14983448;8391000;764,1192636;592,6490355;1715,879652;617,0287203
75;aarea;35,0241731;31,11020041;31,33076642;32,5801908;2847000;617,9468097;747,6202459;2004,125995;1001,338095
76;aarea;36,60102867;42,28600011;-18,54912032;33,26735754;3747000;567,6696244;716,534089;1419,770297;596,6612205
77;aarea;21,86026895;29,95185412;-34,08649163;25,58559191;3571000;675,2143999;703,0178322;1639,36167;633,3978504
78;aarea;31,47504796;18,12837574;-7,864144625;12,49144577;3082000;657,3224097;612,7368668;1439,638803;910,0360672
79;aarea;14,76796577;21,97058595;0,267695521;36,97097841;7949000;778,4130465;651,4827844;2027,500301;814,9421766
2;blinking;29,52725621;25,50354918;-32,81756944;27,34902896;7312000;772,5251484;817,903527;1743,02226;1039,463676
3;blinking;20,71400475;28,50117789;18,32709056;34,80319746;1375000;656,8868171;411,8979986;1395,241158;541,6335566
4;blinking;37,34638743;13,37933695;-5,006034274;11,7006896;3281000;619,627132;524,0771145;1192,534856;668,228829
5;blinking;38,9252498;32,20358926;-25,64170521;55,1620469;2421000;580,2068044;613,3728249;1104,42211;796,3413578
6;blinking;26,27662115;21,63884742;-48,82352941;27,24551933;2653000;609,0188162;463,3820013;2415,340606;499,9528038
7;blinking;54,48980828;11,18576535;-18,43617473;39,10883867;4605000;867,8852622;495,0594489;1636,007977;706,4054021
8;blinking;31,76297119;17,33081737;-8,740917328;20,69418928;3168000;574,9992657;499,9143298;1415,120419;761,72064
9;blinking;70,49744908;21,56412119;5,468324801;17,30210418;3250000;1135,458648;468,2247868;1118,4712;572,5392437
10;blinking;33,66586598;8,898099056;-28,56489722;11,74240546;2942000;625,1770688;612,6766958;1137,587443;615,0562736
11;blinking;31,62734392;11,53489593;-12,57751723;28,12390768;4199000;463,4216793;487,8290689;1344,061216;656,7281423
12;blinking;69,71059714;3,810863632;-20,81227274;11,4834544;3074000;829,4108402;683,7425671;881,5258478;605,6509774
13;blinking;30,67935267;24,50491375;10,47515521;25,34170155;6434000;732,0695843;709,4573786;1178,283331;663,2648015
14;blinking;54,62612752;10,12196543;-6,495406564;13,32697288;6434000;850,0378537;512,441432;1428,410081;602,9067445
15;blinking;26,56900388;28,97004485;0,228555839;22,53516317;2586000;519,9731926;683,6220795;1085,972048;583,7050715
16;blinking;47,52383954;10,65697802;35,30455611;10,60278431;3430000;882,2880445;533,9183444;1119,350813;656,0199035
17;blinking;35,94410056;17,87933527;24,62228618;20,45867675;3277000;744,2046458;621,8943738;1317,869921;624,0906877
18;blinking;37,8217919;27,78211852;6,165955461;25,17978803;9183000;806,7030212;1054,090649;1320,978772;971,7677471
19;blinking;29,61192295;25,34275887;-36,51301091;29,66537476;2442000;500,2708148;506,3378526;1099,031613;586,4506038
20;blinking;21,80182341;44,1024208;61,3401487;39,23702096;1703000;635,7854483;774,3573199;1592,390965;762,9153626
21;blinking;42,70430129;23,47022452;29,56657652;44,74003969;2941000;603,6320473;490,8895869;1181,880703;755,0754966
22;blinking;26,42415292;25,91510212;35,26368759;37,3623142;6305000;721,0997893;1037,327302;1645,105809;1277,420293
60;blinking;27,47026508;32,8159976;1,44077893;30,51263408;2964000;542,586014;890,5370157;1036,204571;664,7951987
61;blinking;35,8868197;20,4040748;-9,63372296;25,9034845;2398000;659,135068;663,3014075;1052,769854;944,2863473
62;blinking;25,73350736;32,81583197;2,964525452;47,28485156;3281000;557,6014488;703,1457522;1364,07796;691,2560591
63;blinking;28,63512866;14,96641571;22,82694048;27,67670909;2094000;536,4565608;535,0552513;1280,610664;551,3876466
64;blinking;29,82552905;19,43768731;0,851691867;13,1134685;4211000;686,2110078;648,3079619;1278,999531;570,3038525
65;blinking;60,90651607;11,58450935;-16,17809947;14,75430308;2945000;821,310753;506,2546942;1111,053531;610,6968433
66;blinking;17,0980496;25,63226578;-40,38691015;17,22790363;3664000;627,5878929;525,8768858;1308,178414;554,1895595
67;blinking;14,83910668;10,70868103;-19,6559166;6,823874818;1910000;602,4586412;565,2403892;1066,5574;637,3828434
68;blinking;17,1179381;14,42788501;-25,2602661;7,379323624;2945000;667,1622426;536,7446407;1577,123087;729,5094334
70;blinking;41,23288378;34,86721182;-36,47431226;36,92118943;5274000;707,873912;742,3683275;1355,525503;752,2062261
71;blinking;43,55017871;12,03564757;-8,803677438;51,4019418;4996000;581,5595338;547,2719483;1462,867253;913,5594266
72;blinking;23,11374586;33,77380219;-33,34869825;59,96899789;2152000;586,1770428;539,3084111;1075,044215;903,3753495
73;blinking;47,6504737;7,199368587;6,712767077;20,41019251;2191000;735,6407904;573,683036;1068,887155;615,2726341
